,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph)
31,Bathsheba,BB,13.22,-59.52,82.4,74,40,6.93
32,Nantucket,US,41.28,-70.1,35.6,34,1,12.75
33,Saint Anthony,US,43.97,-111.68,21.69,79,90,11.41
34,Tuktoyaktuk,CA,69.44,-133.03,1.4,84,40,4.16
35,Maryville,US,35.76,-83.97,51.28,87,90,13.87
36,Torbay,CA,47.66,-52.73,39.25,100,90,17.22
37,Vestmanna,FO,62.16,-7.17,39.2,86,100,16.11
38,Oneida,US,41.07,-90.23,41.23,93,90,18.34
39,Narsaq,GL,60.91,-46.05,44.6,56,100,33.33
40,Ilulissat,GL,69.22,-51.1,11.3,63,13,10.92
41,Nome,US,30.04,-94.42,77.13,78,90,13.87
42,Norman Wells,CA,65.28,-126.83,21.2,92,90,11.41
43,Portree,GB,57.41,-6.19,34.0,76,100,1.7
44,Price,US,39.6,-110.81,32.2,58,1,3.74
45,Arkansas City,US,37.06,-97.04,57.27,24,1,20.8
46,Sheridan,US,39.65,-105.03,33.64,31,90,24.16
47,Juneau,US,58.3,-134.42,36.36,94,90,10.29
48,La Tuque,CA,47.44,-72.79,14.05,82,0,6.24
49,Belgrade,RS,44.82,20.46,31.08,56,0,4.7
50,Fairbanks,US,64.84,-147.72,19.24,92,90,2.73
51,Provideniya,RU,64.42,-173.23,17.78,96,100,3.83
52,Beaupre,CA,47.04,-70.9,18.03,57,40,8.05
53,Acapulco,MX,16.86,-99.88,87.8,74,75,5.82
54,Maniitsoq,GL,65.42,-52.9,24.84,46,69,6.64
55,Havre-Saint-Pierre,CA,50.23,-63.6,23.0,53,75,19.46
56,Vanderhoof,CA,54.02,-124.02,18.59,52,0,1.25
57,Saint Pete Beach,US,27.73,-82.74,76.1,57,1,5.64
58,Haines Junction,CA,60.75,-137.51,20.41,93,40,9.71
59,Ribeira Grande,PT,38.52,-28.7,68.0,94,75,8.05
60,Mosquera,CO,4.71,-74.23,62.6,72,75,12.75
61,Calabozo,VE,8.92,-67.43,84.74,60,100,4.45
62,Cabo San Lucas,MX,22.89,-109.91,78.8,69,20,6.93
63,Brae,GB,60.4,-1.35,41.22,93,100,9.17
64,Saint-Georges,CA,46.12,-70.67,14.32,76,100,5.01
65,Vila Franca do Campo,PT,37.72,-25.43,66.2,88,40,4.7
66,Sturgis,CA,51.94,-102.54,15.06,93,82,6.13
67,Rockland,CA,45.55,-75.29,20.86,67,20,6.93
68,Paamiut,GL,61.99,-49.67,37.92,74,100,9.31
69,Lagoa,PT,37.14,-8.45,60.46,93,75,10.29
70,Nanortalik,GL,60.14,-45.24,41.36,76,100,41.16
71,Liverpool,GB,53.41,-2.98,33.62,100,1,9.17
72,Husavik,CA,50.56,-96.99,28.0,88,23,10.0
73,Kahului,US,20.89,-156.47,76.68,58,40,23.04
74,Moose Factory,CA,51.26,-80.61,21.2,79,90,2.24
75,Leirvik,NO,59.78,5.5,34.2,81,40,6.93
76,Mana,NG,13.03,5.27,80.47,13,100,9.33
77,Puerto Ayora,EC,-0.74,-90.35,75.51,69,20,13.87
78,Topolobampo,MX,25.6,-109.05,77.52,57,20,13.87
79,Salina,US,38.84,-97.61,47.82,36,1,25.28
80,Bonavista,CA,48.65,-53.11,37.0,87,100,13.0
81,Ojuelos de Jalisco,MX,21.86,-101.59,74.73,24,0,10.09
82,Saint-Augustin,CA,45.63,-73.98,20.84,57,20,8.05
83,Klaksvik,FO,62.23,-6.59,39.2,86,100,16.11
84,Loreto,PY,-23.27,-57.32,98.65,36,25,6.24
85,Dryden,CA,49.79,-92.84,17.6,85,40,10.29
86,Geraldton,CA,49.72,-86.95,14.0,85,75,11.41
87,Puerto Colombia,CO,10.99,-74.96,84.2,74,75,11.41
88,Upernavik,GL,72.79,-56.15,20.66,66,100,12.44
89,Custoias,PT,41.11,-7.32,53.01,8,0,5.01
90,Muros,ES,42.77,-9.06,52.21,100,75,8.05
91,Chapais,CA,49.78,-74.86,5.0,77,1,5.82
92,Touros,BR,-5.2,-35.46,78.8,74,20,9.17
93,Saint Cloud,US,45.56,-94.16,30.9,98,100,16.11
94,Bethel,US,60.79,-161.76,19.38,92,1,10.29
95,Sao Filipe,CV,14.9,-24.5,74.3,73,84,17.65
96,Saint Andrews,NZ,-44.53,171.19,65.32,70,100,6.98
97,Aklavik,CA,68.22,-135.01,12.2,92,90,3.36
98,El Sauzal,AR,-24.3,-64.96,93.2,32,75,28.86
99,Champerico,MX,16.38,-93.6,87.8,45,40,5.82
100,Kapuskasing,CA,49.42,-82.43,14.0,92,90,6.93
101,Arlington,US,32.74,-97.11,68.74,49,1,18.34
102,Inirida,CO,3.87,-67.92,82.56,93,56,2.3
103,Dingle,PH,11.0,122.67,70.97,91,100,8.77
104,Constitucion,MX,23.99,-104.67,74.59,23,40,12.75
105,Marquette,US,46.54,-87.4,27.23,86,90,6.93
106,Iqaluit,CA,63.75,-68.52,24.39,68,90,14.99
107,Canandaigua,US,42.88,-77.28,25.97,68,1,6.93
108,Egvekinot,RU,66.32,-179.17,9.37,94,100,8.14
109,Camopi,GF,3.17,-52.33,89.55,40,77,5.17
110,Half Moon Bay,US,37.46,-122.43,47.01,81,75,19.46
111,Lethem,GY,3.38,-59.8,92.14,45,62,5.68
112,Nouadhibou,MR,20.93,-17.03,62.6,88,75,6.93
113,Kenai,US,60.55,-151.26,35.8,86,90,11.41
114,Totana,ES,37.77,-1.5,55.09,100,0,2.24
115,Baza,ES,37.49,-2.77,50.83,80,0,7.0
116,Saint-Pierre,FR,48.95,4.24,37.87,93,100,13.87
117,San Patricio,PY,-26.98,-56.83,71.73,88,100,5.19
118,Trairi,BR,-3.28,-39.27,79.34,67,76,5.95
119,Coro,VE,11.41,-69.67,80.76,73,100,14.45
120,Graham,US,33.11,-98.59,65.57,34,1,19.46
121,Santa Rosalia,IT,38.07,13.27,51.28,82,0,2.53
122,Nouakchott,MR,18.08,-15.98,69.8,77,67,12.75
123,Lompoc,US,34.64,-120.46,49.77,81,90,9.17
124,San Luis,AR,-33.3,-66.34,84.54,17,0,22.19
125,Araouane,ML,18.9,-3.53,71.92,13,24,8.7
126,Rodeo,MX,25.18,-104.56,77.9,32,0,16.13
127,Puerto Madero,AR,-34.61,-58.36,80.62,28,0,8.05
128,Santa Isabel do Rio Negro,BR,-0.41,-65.02,87.04,63,71,3.22
129,Douglas,US,58.28,-134.39,36.34,94,90,10.29
130,Santander,PH,9.42,123.33,77.0,83,20,9.17
131,Atascadero,US,35.49,-120.67,47.66,87,20,10.29
132,Casa Grande,PE,-7.74,-79.19,69.8,77,90,10.29
133,Brandon,US,43.59,-96.57,33.6,100,100,3.36
134,Uribia,CO,11.71,-72.27,83.57,68,100,7.05
135,Santa Isabel,MX,32.63,-115.58,60.8,44,75,9.17
136,Pacifica,US,37.61,-122.49,46.76,81,75,19.46
137,Puerto El Triunfo,SV,13.27,-88.55,89.6,59,100,4.7
138,La Palma,CO,5.36,-74.39,79.72,69,100,3.65
139,Markala,ML,13.69,-6.07,79.23,15,0,9.17
140,Melilla,EC,-0.8,-80.23,82.4,83,75,9.17
141,Kukuna,SL,8.64,-12.57,82.4,74,75,8.05
142,Vestmannaeyjar,IS,63.44,-20.27,42.76,78,100,5.48
143,Rabat,MA,34.02,-6.83,54.34,93,40,3.36
144,Carutapera,BR,-1.2,-46.02,82.47,78,0,17.34
145,Atoka,US,34.39,-96.13,64.6,31,1,18.34
146,Susanville,US,40.42,-120.65,30.96,80,90,5.73
147,Lavrentiya,RU,65.58,-170.99,20.07,79,100,8.79
148,Findlay,US,41.04,-83.65,38.28,75,90,12.75
149,Beatrice,US,40.27,-96.75,39.06,56,90,24.16
150,Qasigiannguit,GL,68.82,-51.19,11.3,63,13,10.92
151,Hellin,ES,38.51,-1.7,47.79,93,20,5.82
152,Bubaque,GW,11.28,-15.83,83.59,74,0,11.32
153,The Valley,AI,18.22,-63.06,80.08,74,75,8.05
154,Daoukro,CI,7.06,-3.97,76.57,56,0,0.4
155,Hays,US,38.88,-99.33,41.16,52,1,39.15
156,Annapolis,US,38.98,-76.49,42.62,56,90,4.7
157,La Ronge,CA,55.1,-105.3,14.0,78,90,2.24
158,Sitka,US,37.17,-99.65,48.0,43,0,15.01
159,Cockburn Town,TC,21.46,-71.14,77.41,62,10,11.54
160,San Quintin,PH,17.54,120.52,65.34,82,63,5.77
161,Prince Rupert,CA,54.32,-130.32,35.6,69,1,5.82
162,Praia da Vitoria,PT,38.73,-27.07,66.63,93,20,11.25
163,Minden,US,40.5,-98.95,32.36,74,90,29.97
164,Makakilo City,US,21.35,-158.09,80.44,54,40,10.29
165,Roseburg,US,43.22,-123.34,36.59,62,1,3.65
166,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.0,73,20,9.17
167,Rincon,PA,8.46,-82.28,75.85,79,40,9.17
168,Ketchikan,US,55.34,-131.65,37.4,69,90,5.82
169,Ponta Delgada,PT,37.73,-25.67,66.2,88,40,4.7
170,Tutoia,BR,-2.76,-42.27,80.98,71,68,8.66
171,La Macarena,CO,2.18,-73.79,87.39,53,29,5.46
172,Lufkin,US,31.34,-94.73,75.79,83,75,8.05
173,East Longmeadow,US,42.06,-72.51,31.55,31,75,13.87
174,Butaritari,KI,3.07,172.79,83.3,72,55,3.71
175,Pervomayskiy,RU,53.24,40.29,34.66,97,100,11.77
176,Jieshi,CN,22.82,115.83,64.99,78,100,1.01
177,Darhan,MN,49.49,105.92,-2.79,98,100,4.23
178,Airai,TL,-8.93,125.41,66.09,80,2,2.59
179,Mehamn,NO,71.03,27.85,22.35,83,12,25.61
180,Longyearbyen,NO,78.22,15.63,12.2,51,100,27.51
181,Tateyama,JP,36.66,137.31,33.64,65,0,8.48
182,Buzmeyin,TM,38.05,58.21,44.6,65,0,4.7
183,Chokurdakh,RU,70.62,147.9,-25.15,100,76,2.93
184,Yasnogorsk,RU,54.48,37.69,31.1,97,100,8.16
185,Nikolskoye,RU,59.7,30.79,23.83,92,20,8.95
186,Metu,ET,8.3,35.58,59.68,93,2,3.06
187,Yaan,NG,7.38,8.57,82.54,31,92,2.84
188,Katsuura,JP,33.93,134.5,39.2,86,20,9.17
189,Yar-Sale,RU,66.83,70.83,14.86,95,100,9.24
190,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,5.0,84,20,6.71
191,Shirokiy,RU,53.87,39.17,35.01,100,100,8.97
192,Shingu,JP,33.72,135.99,52.0,69,0,6.46
193,Cherskiy,RU,68.75,161.3,-3.1,92,100,16.78
194,Ust-Omchug,RU,61.13,149.63,-27.62,98,39,7.4
195,Batagay-Alyta,RU,67.8,130.41,-14.24,98,100,2.53
196,Dikson,RU,73.51,80.55,-15.74,90,0,4.47
197,Czersk,PL,53.8,17.98,33.66,10,0,4.72
198,Talnakh,RU,69.49,88.39,-14.8,68,20,6.71
199,Saskylakh,RU,71.97,114.09,-32.49,93,6,8.05
200,Hobyo,SO,5.35,48.53,77.47,65,67,13.47
201,Pryozerne,UA,49.42,24.47,28.4,92,25,6.71
202,Kamaishi,JP,39.28,141.86,35.29,79,100,6.22
203,Magaria,NE,13.0,8.91,77.61,16,100,10.22
204,Pevek,RU,69.7,170.27,0.32,98,100,6.73
205,Tabas,IR,33.6,56.92,48.2,49,0,4.7
206,Marostica,IT,45.75,11.66,44.13,75,40,6.93
207,Thenzawl,IN,23.28,92.78,51.39,90,0,1.86
208,Igarka,RU,67.47,86.57,-18.09,94,97,8.99
209,Baherden,TM,38.44,57.43,48.94,64,0,2.46
210,Kavieng,PG,-2.57,150.8,83.93,65,34,4.23
211,Daigo,JP,36.78,140.36,33.84,80,75,2.24
212,Khatanga,RU,71.98,102.47,-23.04,96,100,10.87
213,Zarubino,RU,42.65,131.06,35.06,65,66,27.51
214,Hit,IQ,33.64,42.83,62.2,56,100,6.29
215,Astana,KZ,51.13,71.43,-5.8,83,0,6.71
216,Alikovo,RU,55.74,46.75,26.6,92,90,13.42
217,Hovin,NO,63.11,10.22,30.67,96,90,26.4
218,Stepnyak,KZ,52.83,70.79,13.55,54,0,8.3
219,Shushtar,IR,32.05,48.86,65.53,53,19,3.67
220,Batagay,RU,67.65,134.64,-22.22,89,80,1.54
221,Tiksi,RU,71.64,128.87,-24.97,95,50,2.46
222,Saiha,IN,22.49,92.98,53.73,62,13,3.58
223,Abu Kamal,SY,34.45,40.92,61.2,55,100,8.88
224,Bagdarin,RU,54.44,113.59,-6.84,81,100,4.47
225,Sinnar,IN,19.85,74.0,69.82,67,53,6.22
226,Darab,IR,28.75,54.55,55.26,53,0,2.24
227,Vostok,RU,46.45,135.83,12.79,96,99,4.27
228,Mandalgovi,MN,45.76,106.27,5.52,83,71,18.32
229,Belyy Yar,RU,53.6,91.39,14.0,85,40,9.86
230,Erzin,TR,36.95,36.2,59.07,100,75,5.82
231,Aqtobe,KZ,50.28,57.21,23.0,67,100,11.18
232,Sabang,PH,13.8,121.11,68.99,90,90,6.67
233,Kodumudi,IN,11.08,77.89,73.99,94,100,5.21
234,Kpandae,GH,8.46,-0.01,83.48,29,0,3.56
235,Radebeul,DE,51.1,13.68,34.61,86,75,3.36
236,Ust-Tsilma,RU,65.44,52.15,29.79,86,100,11.07
237,Predivinsk,RU,57.07,93.44,11.93,94,100,8.75
238,Zyryanovsk,KZ,49.74,84.27,-1.53,65,0,0.45
239,Lorengau,PG,-2.02,147.27,83.25,63,62,1.07
240,Lashma,RU,54.93,41.14,34.12,97,100,7.36
241,Pangody,RU,65.85,74.49,21.78,96,98,8.59
242,Frontignan,FR,43.45,3.75,50.0,93,90,9.17
243,Skjervoy,NO,70.03,20.97,33.73,80,100,44.92
244,Leningradskiy,RU,69.38,178.42,14.22,95,100,3.6
245,Komsomolskiy,RU,67.55,63.78,24.49,95,100,10.65
246,Lianran,CN,24.92,102.47,47.23,93,20,11.18
247,Verkhnevilyuysk,RU,63.45,120.31,-4.0,98,100,3.94
248,Kuytun,RU,54.34,101.51,4.91,84,100,8.43
249,Zyryanka,RU,65.73,150.89,-18.99,81,100,10.22
250,Ligayan,PH,4.65,119.47,82.81,80,100,12.57
251,Poronaysk,RU,49.22,143.1,18.61,71,19,3.18
252,Sol-Iletsk,RU,51.16,55.0,25.75,94,100,14.14
253,Dabat,ET,12.98,37.77,61.3,57,85,4.47
254,Kijang,KR,35.24,129.21,46.4,93,100,1.12
255,Arlit,NE,18.74,7.39,77.05,13,0,5.99
256,Sri Aman,MY,1.24,111.46,75.07,100,100,2.01
257,Taldan,RU,53.69,124.82,-3.69,97,99,3.44
258,Hailun,CN,47.46,126.97,8.35,95,83,8.03
259,Vardo,US,39.62,-77.74,41.14,48,90,3.36
260,Bilibino,RU,68.06,166.44,-2.11,91,100,4.07
261,Umm Kaddadah,SD,13.6,26.69,69.64,16,12,11.86
262,Qiongshan,CN,20.01,110.35,62.6,93,32,9.53
263,Dzhebariki-Khaya,RU,62.22,135.8,-19.25,98,84,0.47
264,Severo-Kurilsk,RU,50.68,156.12,22.84,82,91,28.36
265,Sur,OM,22.57,59.53,69.58,57,0,3.36
266,Ostersund,SE,63.18,14.64,28.11,79,14,18.34
267,Kutum,SD,14.2,24.66,61.16,19,4,6.11
268,Ola,RU,59.58,151.3,-2.33,75,0,13.87
269,Dzhida,RU,50.68,106.18,-2.06,79,30,3.38
270,Jumla,NP,29.28,82.18,27.55,25,0,4.65
271,Arman,RU,59.7,150.17,10.42,65,52,18.99
272,Marsabit,KE,2.34,37.99,76.96,58,11,16.51
273,Svetlogorsk,RU,53.14,59.15,10.4,85,75,4.47
274,Kardamaina,GR,36.78,27.14,62.6,77,40,3.36
275,Belinskiy,RU,52.97,43.41,32.02,96,100,12.64
276,Sorong,ID,-0.86,131.25,72.32,98,100,1.48
277,Atasu,KZ,48.68,71.64,14.2,55,0,8.37
278,Kalga,RU,50.92,118.9,-4.0,90,100,1.41
279,Oarai,JP,36.31,140.57,37.24,80,75,2.24
280,Hanzhong,CN,33.08,107.03,36.81,76,100,2.98
281,Naryan-Mar,RU,67.67,53.09,31.14,94,100,21.72
282,Yuanping,CN,38.72,112.71,19.94,55,100,2.42
283,Sharanga,RU,57.18,46.54,30.83,96,100,14.23
284,Pinyug,RU,60.25,47.79,30.18,93,100,14.34
285,Dukat,AL,40.25,19.57,55.99,75,0,15.59
286,Svirstroy,RU,60.8,33.72,26.01,86,29,7.25
287,Ardakan,IR,32.31,54.02,46.4,45,0,4.7
288,Ban Dung,TH,17.7,103.25,68.68,86,18,6.29
289,Dayong,CN,25.02,118.29,62.6,88,20,2.24
290,Olga,US,34.11,-118.17,56.03,39,75,6.93
291,Pala,TD,9.37,14.91,78.51,22,89,4.16
292,Kungurtug,RU,50.6,97.53,-6.12,93,100,1.92
293,Kose,EE,59.18,25.17,29.43,86,75,17.22
294,Phirangipuram,IN,16.29,80.26,72.09,86,100,4.83
295,Birao,CF,10.3,22.78,70.18,19,66,7.74
296,Tigil,RU,57.8,158.67,12.97,95,100,2.26
297,Nemuro,JP,43.32,145.57,34.79,57,100,8.5
298,Dali,CN,34.79,109.94,35.49,38,100,7.56
299,Bredy,RU,52.43,60.33,14.41,86,100,9.22
300,Bacungan,PH,9.87,118.73,75.2,88,20,4.7
301,Qarqin,AF,37.41,66.03,56.7,15,1,17.38
302,Xinzhi,TW,22.54,120.62,67.15,83,75,5.82
303,Fukuma,JP,33.77,130.47,49.86,71,75,10.29
304,Mugur-Aksy,RU,50.38,90.44,1.65,81,92,5.3
305,Salalah,OM,17.01,54.1,77.0,36,1,10.29
306,Saravan,AM,39.72,45.65,44.6,93,90,4.7
307,Thinadhoo,MV,0.53,72.93,81.37,78,100,6.08
308,Shitanjing,CN,39.23,106.34,25.0,33,81,3.22
309,Giaveno,IT,45.04,7.35,42.42,100,40,6.93
310,Nyurba,RU,63.29,118.35,-12.03,95,100,6.2
311,Algiers,US,29.94,-90.04,78.4,73,75,20.8
312,Massakory,TD,13.0,15.73,78.21,12,74,10.04
313,Hadsund,DK,56.72,10.12,31.28,85,0,2.24
314,Hasaki,JP,35.73,140.83,37.17,86,75,4.7
315,Seydi,NE,13.34,7.75,78.24,13,100,10.56
316,Chumikan,RU,54.72,135.31,-0.6,84,6,4.81
317,Itoman,JP,26.12,127.67,68.88,64,20,10.29
318,Hami,CN,42.84,93.51,18.88,39,0,5.5
319,Suure-Jaani,EE,58.54,25.46,28.0,93,67,1.99
320,Havoysund,NO,71.0,24.66,24.8,92,100,40.26
321,Serebryanyy Bor,RU,56.8,124.8,-5.84,96,100,3.27
322,Obama,JP,35.49,135.74,35.4,91,0,8.61
323,Verkhoyansk,RU,67.55,133.39,-22.79,88,92,1.43
324,Victoria,BN,5.28,115.24,79.38,88,75,7.4
325,Zalaegerszeg,HU,46.84,16.85,34.48,83,31,1.88
326,Binzhou,CN,37.38,117.96,37.0,67,100,7.11
327,Agadez,NE,16.97,7.99,75.2,14,1,8.05
328,Romans-sur-Isere,FR,45.05,5.06,44.98,93,100,8.05
329,Payyannur,IN,12.1,75.2,78.8,94,40,1.12
330,Kyaikkami,MM,16.08,97.57,80.92,69,68,7.74
331,Semirom,IR,31.41,51.57,30.51,77,0,2.3
332,Banda Aceh,ID,5.56,95.32,74.55,88,100,3.67
333,Xuddur,SO,4.12,43.89,75.15,47,96,4.23
334,Ust-Nera,RU,64.57,143.24,-37.21,100,95,1.23
335,Salamiyah,SY,35.01,37.05,57.58,78,100,1.79
336,Batticaloa,LK,7.71,81.69,74.01,96,95,2.84
337,Bandarbeyla,SO,9.49,50.81,78.93,73,100,29.01
338,Khasan,RU,42.43,130.64,24.08,78,34,6.8
339,Oum Hadjer,TD,13.3,19.7,74.62,11,69,11.7
340,Tura,RU,64.27,100.22,-29.31,97,4,2.21
341,Panyutyne,UA,48.93,36.28,35.96,91,43,7.4
342,Santa Ana,MX,30.54,-111.12,62.56,47,22,1.01
343,Abu Dhabi,AE,24.47,54.37,72.46,73,20,2.24
344,Berlevag,NO,70.86,29.09,28.36,77,6,31.0
345,Sangmelima,CM,2.93,11.98,71.98,84,100,4.0
346,Erenhot,CN,43.65,111.97,13.17,59,0,14.47
347,Phuket,TH,7.89,98.4,75.99,88,20,10.22
348,Molodizhne,UA,45.01,34.06,47.23,78,100,8.9
349,Amga,RU,60.89,131.98,-5.46,98,89,1.74
350,Turbat,PK,26.0,63.05,63.77,54,0,1.63
351,Ginda,IN,30.69,78.49,43.0,33,0,5.86
352,Babayurt,RU,43.6,46.78,46.36,91,100,8.21
353,Bondo,CD,3.81,23.69,70.27,66,36,0.83
354,Jalu,LY,29.03,21.55,59.34,49,0,5.21
355,Mochalishche,RU,56.33,48.35,26.6,92,90,13.42
356,Kathmandu,NP,27.71,85.32,46.4,87,20,3.36
357,Lerwick,GB,60.15,-1.15,41.0,81,100,19.46
358,Galle,GN,10.08,-12.83,73.15,52,0,0.51
359,Marsa,FR,42.82,2.16,48.04,87,90,5.82
360,Bayan,CN,36.1,102.26,12.61,87,98,0.85
361,Pavilosta,LV,56.89,21.19,37.4,59,66,6.93
362,Pundaguitan,PH,6.37,126.17,81.55,75,99,12.64
363,Khandbari,NP,27.38,87.21,36.95,56,0,5.44
364,Chara,GR,39.42,22.43,52.79,71,20,6.93
365,Namatanai,PG,-3.66,152.44,83.17,68,22,3.6
366,Kanigiri,IN,15.41,79.51,72.5,91,95,2.55
367,Kysyl-Syr,RU,63.9,122.77,-4.99,99,100,2.73
368,Ishigaki,JP,24.34,124.16,73.4,73,40,13.87
369,Sladkovo,RU,55.53,70.34,9.55,72,0,7.45
370,Tongchuan,CN,34.9,108.95,26.6,100,100,2.15
371,Rudnichnyy,RU,59.7,60.29,19.29,83,75,7.18
372,Zhuhai,CN,40.71,112.04,-4.0,76,0,4.47
373,Mayskiy,RU,43.63,44.06,41.0,75,0,4.47
374,Anadyr,RU,64.73,177.51,19.18,92,75,2.24
375,Ternate,PH,14.29,120.72,75.27,73,20,2.24
376,Traismauer,AT,48.35,15.74,30.78,74,0,3.36
377,Ca Mau,VN,9.18,105.15,75.94,86,96,7.29
378,Bontang,ID,0.12,117.47,80.98,79,100,0.58
379,Umm Lajj,SA,25.02,37.27,72.63,61,0,3.85
380,Kropotkin,RU,45.43,40.58,44.26,86,0,8.93
381,Vanavara,RU,60.35,102.28,-25.51,96,0,2.98
382,Govindgarh,IN,27.5,77.0,61.23,52,0,5.77
383,Segezha,RU,63.74,34.31,22.24,89,97,13.24
384,Magadan,RU,59.56,150.8,1.51,77,0,14.58
385,Adrar,DZ,27.87,-0.29,60.8,25,0,9.17
386,Damietta,EG,31.42,31.81,69.39,63,0,5.57
387,Jandiala,IN,31.56,75.03,54.01,93,0,3.29
388,Arzgir,RU,45.37,44.21,46.38,73,47,15.35
389,Ushuaia,AR,-54.81,-68.31,48.2,66,75,25.28
390,Puerto Ayora,EC,-0.74,-90.35,75.51,69,20,13.87
391,Hermanus,ZA,-34.42,19.24,61.14,83,68,15.7
392,Necochea,AR,-38.55,-58.74,59.56,58,0,11.01
393,Rikitea,PF,-23.12,-134.97,78.04,74,56,5.41
394,Lebu,ET,8.96,38.73,55.4,66,40,9.17
395,Alofi,NU,-19.06,-169.92,77.0,73,100,3.36
396,Jamestown,AU,-33.21,138.6,47.71,83,100,13.09
397,Presidente Epitacio,BR,-21.76,-52.12,81.61,76,83,1.66
398,Rocha,UY,-34.48,-54.34,71.96,51,63,6.4
399,Mataura,NZ,-46.19,168.86,57.99,77,100,7.0
400,Ancud,CL,-41.87,-73.83,57.2,71,40,5.82
401,Vaini,IN,15.34,74.49,69.82,80,100,6.53
402,Chuy,UY,-33.69,-53.46,77.58,51,83,5.55
403,Mar del Plata,AR,-46.43,-67.52,61.88,29,100,12.33
404,Georgetown,GY,6.8,-58.16,84.2,83,75,6.93
405,Saldanha,PT,41.42,-6.55,43.99,91,0,7.54
406,Atuona,PF,-9.8,-139.03,79.09,73,67,13.78
407,Salgueiro,BR,-8.07,-39.12,90.99,15,95,7.83
408,Punta Arenas,CL,-53.16,-70.91,57.2,54,20,27.51
409,Rawson,AR,-43.3,-65.11,53.33,61,14,11.65
410,Iaciara,BR,-14.1,-46.63,76.73,85,82,3.38
411,Avarua,CK,-21.21,-159.78,78.8,78,100,4.7
412,Cape Town,ZA,-33.93,18.42,63.66,72,20,16.11
413,Sao Jose da Coroa Grande,BR,-8.9,-35.15,80.38,77,24,16.04
414,Sao Joao da Barra,BR,-21.64,-41.05,75.2,78,100,9.17
415,Talca,CL,-35.43,-71.66,84.09,21,0,11.41
416,Paita,PE,-5.09,-81.11,62.6,100,40,9.17
417,Junin,PE,-16.45,-71.58,64.4,45,0,12.75
418,Arraial do Cabo,BR,-22.97,-42.02,77.0,69,100,11.41
419,Nova Olimpia,BR,-14.8,-57.29,77.52,89,100,2.48
420,Castro,CL,-42.48,-73.76,57.2,71,40,5.82
421,Cedro,BR,-6.61,-39.06,88.36,19,33,3.09
422,Coihaique,CL,-45.58,-72.07,57.0,44,20,9.17
423,Calama,CL,-22.46,-68.93,78.8,5,9,24.16
424,Acobamba,PE,-11.35,-75.66,51.1,75,100,8.88
425,Paramonga,PE,-10.68,-77.82,65.82,85,35,9.46
426,Cidreira,BR,-30.17,-50.22,76.01,76,65,5.7
427,Moerai,PF,-22.43,-151.33,76.77,86,100,11.68
428,Antofagasta,CL,-23.65,-70.4,66.2,68,20,14.99
429,Nisia Floresta,BR,-6.09,-35.21,78.8,74,20,9.17
430,Floriano,BR,-6.77,-43.02,87.44,34,38,2.91
431,Miracema do Tocantins,BR,-9.56,-48.4,81.59,71,64,4.72
432,Alta Floresta,BR,-9.87,-56.08,84.06,79,27,2.21
