,City Name,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloud Cover (%),Wind Speed (mph)
62,Port-Cartier,CA,50.03,-66.87,37.18,40,20,13.87
63,Price,US,39.6,-110.81,50.0,39,1,1.83
64,Marrakesh,MA,31.63,-8.01,66.2,59,75,9.17
65,Torbay,CA,47.67,-52.73,34.2,96,90,19.46
66,Whitecourt,CA,54.15,-115.69,39.2,55,40,3.36
67,São Filipe,CV,14.9,-24.5,71.11,77,13,18.21
68,High Prairie,CA,55.43,-116.49,44.37,56,41,5.23
69,Kolondiéba,ML,11.09,-6.89,100.96,20,32,7.83
70,Manaure,CO,11.78,-72.44,91.4,49,20,14.99
71,Clyde River,CA,70.47,-68.59,15.8,72,75,9.17
72,Araouane,ML,18.9,-3.53,102.85,11,91,14.67
73,Puerto Ayora,EC,-0.74,-90.35,82.15,74,20,19.46
74,Cayenne,GF,4.93,-52.33,84.2,74,90,6.93
75,Ponta Delgada,PT,37.73,-25.67,64.4,77,20,14.99
76,Petatlán,MX,17.52,-101.27,77.0,78,75,3.36
77,Olafsvik,IS,64.89,-23.71,40.87,77,54,19.6
78,Lethem,GY,3.38,-59.8,88.84,47,93,10.13
79,Newport,GB,51.59,-3.0,64.63,55,20,6.93
80,Mucurapo,TT,10.67,-61.53,88.77,48,40,18.34
81,Ridgecrest,US,35.62,-117.67,73.54,55,1,1.61
82,Itarema,BR,-2.92,-39.92,82.67,78,98,4.27
83,Westport,US,41.14,-73.36,58.37,62,1,6.93
84,San Andrés,CO,12.58,-81.7,87.8,66,75,10.29
85,Manitouwadge,CA,49.12,-85.84,42.8,52,75,11.41
86,Guia,ES,28.14,-15.63,70.77,56,75,24.16
87,Maumelle,US,34.87,-92.4,61.95,68,90,21.92
88,Saint George,US,37.1,-113.58,64.94,38,1,4.7
89,Mattru,SL,7.62,-11.83,91.06,53,93,4.23
90,Truro,GB,50.27,-5.05,55.06,87,92,9.17
91,George Town,MY,5.41,100.34,78.19,94,40,0.87
92,Houma,US,29.6,-90.72,81.05,74,75,11.41
93,Bingerville,CI,5.36,-3.89,86.0,74,40,16.11
94,Nouadhibou,MR,20.93,-17.03,73.4,56,0,18.34
95,Chandler,US,33.31,-111.84,81.54,18,1,6.93
96,Uniontown,US,39.9,-79.72,62.29,41,87,1.99
97,Harper,LR,4.38,-7.72,85.86,69,100,9.82
98,Grand-Santi,GF,4.25,-54.38,89.94,44,11,3.62
99,Dallas,US,32.77,-96.78,66.02,55,75,12.75
100,Corinth,GR,37.94,22.96,66.99,46,39,8.01
101,Sinnamary,GF,5.38,-52.95,81.54,79,23,9.6
102,Kahului,US,20.89,-156.47,69.84,78,75,9.17
103,Athabasca,CA,54.72,-113.29,48.07,48,0,6.4
104,Dingle,PH,11.0,122.67,80.31,81,6,6.6
105,Creel,MX,27.75,-107.63,63.12,13,41,2.75
106,Champerico,GT,14.3,-91.92,84.2,79,40,6.93
107,Puerto del Rosario,ES,28.5,-13.86,73.4,40,40,14.99
108,Hofn,IS,64.25,-15.21,41.23,81,64,19.33
109,Aklavik,CA,68.22,-135.01,-5.8,76,20,3.36
110,Lake City,US,30.19,-82.64,78.42,69,75,8.05
111,Bathsheba,BB,13.22,-59.52,86.0,55,20,23.04
112,Jacmel,HT,18.23,-72.53,89.6,46,20,14.99
113,Sioux Lookout,CA,50.1,-91.92,42.8,45,40,5.82
114,Ottawa,CA,45.41,-75.7,51.93,21,20,3.36
115,Nioro,GM,13.35,-15.75,101.97,14,86,4.63
116,Lavrentiya,RU,65.58,-171.0,18.95,89,0,2.93
117,Progreso,MX,21.28,-89.67,92.34,62,75,6.93
118,Ixtapa,MX,20.7,-105.2,72.91,52,75,2.24
119,Benicia,US,38.05,-122.16,65.17,63,1,4.7
120,Camacha,PT,33.08,-16.33,66.2,59,20,11.41
121,Santa Maria,BR,-29.68,-53.81,83.5,41,73,6.55
122,Macon,US,39.87,-88.97,48.07,93,90,14.99
123,Coshocton,US,40.27,-81.86,60.39,59,1,3.36
124,La Grande,US,45.32,-118.09,46.9,87,90,5.82
125,Pangnirtung,CA,66.15,-65.71,28.4,92,90,3.36
126,Pacific Grove,US,36.62,-121.92,57.24,93,40,6.31
127,Aldergrove,CA,49.06,-122.47,51.78,87,90,6.93
128,Williamsport,US,41.24,-77.0,51.62,66,90,3.53
129,Brae,GB,60.4,-1.35,46.4,70,91,9.17
130,Morgan City,US,29.7,-91.21,78.44,65,1,8.05
131,Muisne,EC,0.6,-80.03,82.4,83,75,8.05
132,Tipp City,US,39.96,-84.17,63.68,63,75,11.41
133,Barra Patuca,HN,15.8,-84.28,82.87,73,46,15.68
134,Mackenzie,CA,55.3,-123.17,33.8,74,90,3.36
135,Harwich,GB,51.94,1.28,53.96,53,42,5.01
136,La Ronge,CA,55.1,-105.28,42.8,81,5,4.7
137,Nanortalik,GL,60.14,-45.24,35.19,86,28,12.01
138,Klaksvík,FO,62.23,-6.59,44.6,81,99,19.46
139,Lahaina,US,20.88,-156.68,68.56,78,75,9.17
140,Kanata,CA,45.32,-75.9,52.25,19,10,1.99
141,Guerrero Negro,MX,27.98,-114.06,69.28,55,0,4.23
142,Eureka,US,40.8,-124.16,55.4,100,90,4.21
143,‘Āhuimanu,US,21.44,-157.84,71.73,69,40,11.41
144,Lompoc,US,34.64,-120.46,57.09,87,1,3.36
145,Hamilton,US,39.18,-84.53,65.28,63,1,8.05
146,Saint-Pierre,RE,-21.34,55.48,74.52,88,20,4.7
147,Ruidoso,US,33.33,-105.67,52.38,43,1,10.29
148,Menomonie,US,44.88,-91.92,57.49,50,1,3.76
149,Tiznit Province,MA,29.58,-9.5,61.0,55,87,15.52
150,Chicacao,GT,14.53,-91.32,76.86,79,40,6.93
151,Miraflores,MX,19.22,-98.81,67.98,45,5,3.04
152,Pierre,US,44.37,-100.35,52.23,66,90,18.34
153,Vestmanna,FO,62.16,-7.17,44.6,81,71,19.46
154,Missouri City,US,29.62,-95.54,75.81,50,20,16.11
155,Geraldton,AU,-28.77,114.6,64.4,82,100,9.17
156,Paamiut,GL,61.99,-49.67,33.67,92,100,8.9
157,kimparana,ML,12.83,-4.92,105.57,10,41,8.14
158,Gallup,US,35.53,-108.74,50.7,23,1,4.34
159,San Quintín,MX,30.48,-115.95,70.47,57,0,4.41
160,Saint-Augustin,CA,51.23,-58.65,33.75,88,0,8.16
161,Malbork,PL,54.04,19.03,52.0,100,1,14.0
162,Qaqortoq,GL,60.72,-46.03,39.2,64,75,11.41
163,Bodmin,GB,50.47,-4.72,57.9,87,77,9.17
164,Mayo,US,38.89,-76.51,57.63,76,40,4.54
165,Pochutla,MX,15.74,-96.47,80.6,65,5,4.74
166,Lázaro Cárdenas,MX,17.96,-102.2,81.79,51,34,2.01
167,Grand-Lahou,CI,5.14,-5.02,85.64,70,97,11.99
168,Eyl,SO,7.98,49.82,85.53,69,85,12.57
169,Krasnosel'kup,RU,65.7,82.47,30.06,95,58,18.77
170,Nanzhang,CN,31.78,111.84,66.79,36,44,6.2
171,Deputatsky,RU,69.3,139.9,12.04,90,16,3.31
172,Cherskiy,RU,68.75,161.3,13.1,96,86,6.15
173,Saskylakh,RU,71.92,114.08,34.56,94,100,5.1
174,Airai,TL,-8.93,125.41,60.04,68,4,3.49
175,Pontian Kecil,MY,1.48,103.39,77.0,94,20,3.58
176,Yar-Sale,RU,66.83,70.83,22.98,96,0,10.56
177,Kholmy,UA,51.87,32.6,59.68,57,100,4.09
178,Mandera,KE,3.94,41.87,91.13,39,56,4.21
179,Andenes,NO,69.31,16.12,37.4,69,100,19.46
180,Chokurdakh,RU,70.63,147.92,17.76,97,67,7.47
181,Assiut,EG,27.18,31.18,80.6,32,0,13.87
182,Sørland,NO,67.67,12.69,38.08,75,62,20.49
183,Sabang,ID,5.89,95.32,83.68,72,99,3.74
184,Umm Kaddadah,SD,13.6,26.69,103.23,5,0,16.06
185,Davila,PH,18.47,120.58,80.6,78,20,2.24
186,Baykit,RU,61.67,96.37,39.43,76,100,7.99
187,Beringovskiy,RU,63.05,179.32,22.89,97,100,5.64
188,Kulhudhuffushi,MV,6.62,73.07,85.82,76,20,9.06
189,Vardø,NO,70.37,31.11,33.71,90,100,29.01
190,Kholm,RU,59.27,32.85,40.46,63,99,6.76
191,Uşak Province,TR,38.5,29.42,69.01,40,0,14.0
192,Butaritari,KI,3.07,172.79,80.47,86,100,18.7
193,Hede,CN,33.77,120.25,51.15,75,12,10.67
194,Aswān,EG,24.09,32.91,90.66,13,0,18.23
195,Turbat,PK,26.0,63.04,93.94,23,13,8.55
196,Udachny,RU,66.42,112.4,41.0,60,90,11.18
197,Pechenga,RU,69.53,31.17,32.0,96,100,29.97
198,Longyearbyen,SJ,78.22,15.64,23.0,53,0,2.24
199,Khatanga,RU,71.97,102.5,19.69,96,100,8.81
200,Banda Aceh,ID,5.56,95.32,80.73,79,98,1.88
201,Ugoofaaru,MV,5.67,73.0,85.69,72,36,6.24
202,Nālūt,LY,30.33,10.85,92.23,12,85,10.71
203,Freiberg,DE,50.92,13.37,53.82,69,80,8.95
204,Yakeshi,CN,49.28,120.73,35.04,59,81,4.61
205,Constantine,DZ,36.37,6.61,68.0,56,75,2.24
206,Dikson,RU,73.51,80.55,19.4,98,99,9.46
207,Nemuro,JP,43.32,145.57,42.49,91,100,12.5
208,Svobodnyy,RU,51.4,128.13,34.07,81,100,6.98
209,Leningradskiy,RU,69.38,178.42,17.19,88,99,7.14
210,Rognan,NO,67.1,15.39,41.34,60,75,17.22
211,Bereda,ES,43.27,-7.54,61.25,81,98,5.01
212,Magdagachi,RU,53.45,125.8,32.65,75,47,4.79
213,Krasnoarmeysk,RU,51.02,45.7,55.67,59,100,13.44
214,Motygino,RU,58.18,94.76,51.89,63,100,8.12
215,Verkhnevilyuysk,RU,63.45,120.32,34.54,86,48,6.11
216,Sur,OM,22.57,59.53,86.88,40,0,2.08
217,Dzhubga,RU,44.32,38.7,59.86,58,22,2.46
218,Trat,TH,12.5,102.5,79.57,85,66,1.63
219,Zlobin,HR,45.29,14.65,68.0,45,20,6.93
220,Malakal,SS,9.53,31.66,106.54,10,18,1.3
221,Sosnovo,RU,60.55,30.21,40.5,65,100,15.01
222,Nizwá,OM,22.93,57.53,92.64,9,0,5.23
223,Tiksi,RU,71.69,128.87,32.72,92,100,15.01
224,Porvoo,FI,60.39,25.67,43.97,61,20,18.34
225,Chai Badan,TH,15.2,101.13,82.0,35,50,6.89
226,Tosya,TR,41.02,34.04,58.33,24,25,9.64
227,Genhe,CN,50.78,121.52,31.3,63,4,3.49
228,Cam Ranh,VN,11.92,109.16,84.2,83,40,14.99
229,Severo-Yeniseyskiy,RU,60.37,93.04,40.42,65,100,6.87
230,Kiryat Gat,IL,31.61,34.76,61.59,59,40,14.99
231,Lorengau,PG,-2.02,147.27,83.59,70,86,2.42
232,Wanning,CN,18.8,110.4,72.97,88,88,8.75
233,Karla,EE,59.37,24.93,42.28,56,6,19.46
234,Kandi,BJ,11.13,2.94,107.35,17,8,2.86
235,Pulandian,CN,39.4,121.97,48.02,49,18,4.47
236,Sozopol,BG,42.42,27.7,60.19,39,0,19.46
237,Naze,JP,28.37,129.48,57.2,82,75,3.36
238,Indi,IN,17.17,75.97,93.67,15,34,6.93
239,Ostrovnoy,RU,68.05,39.51,32.27,95,100,12.97
240,Yerbogachën,RU,61.28,108.01,47.1,84,90,10.27
241,Mahon,ES,39.89,4.27,64.4,77,40,10.29
242,Edd,ER,13.93,41.69,93.78,45,9,15.23
243,Poggibonsi,IT,43.47,11.15,68.9,41,28,11.01
244,Tromsø,NO,69.65,18.96,32.0,91,90,8.05
245,Krynychky,UA,48.38,34.47,62.6,29,27,17.9
246,Sémbé,CG,1.65,14.58,92.8,39,77,0.4
247,Bandarbeyla,SO,9.49,50.81,85.03,68,55,10.38
248,Kavieng,PG,-2.57,150.8,84.13,76,97,11.86
249,Pandan,PH,14.05,124.17,82.38,80,1,14.54
250,Aktash,RU,50.3,87.73,37.67,26,60,7.38
251,Aksu,CN,41.12,80.26,71.15,17,10,5.82
252,Katsuura,JP,35.13,140.3,60.13,55,20,17.22
253,Birin,NP,26.89,88.07,58.59,53,99,4.07
254,Arlit,NE,18.74,7.39,109.62,5,91,6.44
255,Ndélé,CF,8.41,20.65,102.18,11,13,4.92
256,Aloleng,PH,16.13,119.78,82.63,81,50,5.37
257,Vinh,VN,18.67,105.67,69.66,84,100,4.74
258,Iskateley,RU,67.68,53.15,31.08,96,100,13.62
259,Harlingen,US,26.19,-97.7,83.86,70,90,19.46
260,Nikolskoye,RU,59.7,30.79,41.0,41,74,15.66
261,Severo-Kuril'sk,RU,50.68,156.12,31.03,94,67,12.91
262,Yenotayevka,RU,47.25,47.03,58.19,42,0,17.49
263,Solnechnyy,RU,50.72,136.63,27.7,95,89,7.16
264,Marsá Maţrūḩ,EG,31.35,27.25,64.4,68,40,18.34
265,Arrondissement de Provins,FR,48.58,3.17,66.06,39,0,8.05
266,Dubno,UA,50.42,25.73,59.0,38,40,13.42
267,Bantou,CN,26.22,117.49,63.16,59,98,1.05
268,Cornereva,RO,45.07,22.42,58.87,53,45,13.78
269,Mnogovershinnyy,RU,53.94,139.92,22.42,96,100,4.74
270,Anadyr,RU,64.75,177.48,17.26,92,90,11.18
271,Dzerzhinskoye,RU,56.83,95.23,58.95,58,100,11.14
272,Neftekamsk,RU,56.09,54.27,45.07,83,100,8.5
273,Sümeg,HU,46.98,17.28,65.34,32,42,14.99
274,Nichinan,JP,31.6,131.37,50.0,71,92,4.0
275,Tuy Hoa,VN,13.08,109.3,79.16,85,75,10.22
276,Marzuq,YE,14.4,46.47,83.52,26,7,11.7
277,Pekan,MY,3.48,103.4,78.4,94,40,1.12
278,Dzhebariki-Khaya,RU,62.22,135.8,22.71,95,0,1.05
279,Tazovsky,RU,67.47,78.7,27.63,99,100,7.81
280,Røros,NO,62.57,11.38,37.4,86,90,20.8
281,Kavaratti,IN,10.57,72.64,85.46,72,38,11.36
282,Ji’an,CN,27.12,114.98,67.3,55,100,2.95
283,Wajir,KE,1.75,40.06,83.53,58,100,7.58
284,Kamenka,RU,51.32,42.77,56.5,64,100,12.95
285,Chul'man,RU,56.85,124.91,25.21,86,19,3.22
286,Morón,AR,-34.65,-58.62,64.17,93,90,17.22
287,Talnakh,RU,69.49,88.4,30.2,74,100,26.84
288,Arrondissement de Bergerac,FR,44.83,0.5,63.12,77,28,8.05
289,Wichian Buri,TH,15.66,101.11,82.54,61,17,4.97
290,Myitkyina,MM,25.38,97.4,67.32,86,75,2.37
291,Rodna,RO,47.42,24.82,50.0,68,90,1.99
292,Florø,NO,61.6,5.03,50.0,66,13,19.46
293,Nuoro,IT,40.32,9.33,61.12,68,40,6.93
294,Marfino,RU,55.7,37.38,44.1,70,91,6.71
295,Bogovarovo,RU,58.98,47.02,38.71,71,46,5.5
296,Hobyo,SO,5.35,48.53,84.4,72,91,14.67
297,Bilibino,RU,68.05,166.44,19.36,93,90,1.12
298,Hasaki,JP,35.73,140.83,54.07,62,20,9.17
299,Appingedam,NL,53.32,6.86,54.3,62,75,9.17
300,Sibu,MY,2.3,111.82,78.31,94,75,0.74
301,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,59,97,11.18
302,Gijang,KR,35.24,129.21,57.2,71,20,6.93
303,Nyaunglebin,MM,17.95,96.73,85.26,45,56,3.98
304,Najrān,SA,17.49,44.13,91.4,26,40,9.17
305,Sistranda,NO,63.73,8.83,42.8,87,75,16.11
306,Kachug,RU,53.96,105.88,53.53,60,100,1.72
307,Hefei,CN,31.86,117.28,68.92,43,100,6.71
308,Shimoda,JP,34.67,138.95,54.91,71,0,1.01
309,Ormara,PK,25.21,64.64,82.4,64,0,11.63
310,Torit,SS,4.41,32.57,89.8,38,33,3.47
311,Galle,LK,6.04,80.22,83.34,80,100,7.14
312,Aksarka,RU,66.56,67.8,22.59,95,4,8.55
313,Hong Kong,HK,22.29,114.16,70.11,68,40,3.36
314,Āsosa,ET,10.07,34.53,89.67,12,32,5.75
315,Gazli,UZ,40.13,63.45,75.16,33,100,11.45
316,Adrar,MR,20.5,-10.07,87.6,14,0,9.26
317,Ust-Kuyga,RU,70.02,135.6,23.99,94,20,10.18
318,Chalon-sur-Saône,FR,46.78,4.85,70.84,38,49,5.82
319,Lisala,CD,2.15,21.52,89.69,45,74,3.22
320,Vanavara,RU,60.34,102.28,55.22,70,100,9.44
321,Altay,CN,47.87,88.12,60.03,18,0,8.57
322,Alekseyevsk,RU,57.84,108.35,44.96,73,73,4.72
323,Kargil,IN,34.57,76.1,38.12,17,91,5.88
324,Worpswede,DE,53.22,8.93,60.33,44,24,11.41
325,Makat,KZ,47.65,53.35,60.17,31,27,10.56
326,Kirensk,RU,57.79,108.11,45.23,72,72,4.9
327,Amga,RU,60.9,131.96,26.24,95,5,1.9
328,Jadu,LY,31.95,12.03,83.37,14,99,13.76
329,Korla,CN,41.76,86.15,68.85,16,0,3.4
330,Nola,IT,40.92,14.53,64.74,68,20,10.29
331,Ulaanbaatar,MN,47.91,106.88,37.4,37,40,3.62
332,Todireşti,RO,47.32,26.83,64.56,52,88,12.37
333,Caramay,PH,10.18,119.24,82.72,78,7,8.52
334,Troitskoye,RU,52.98,84.68,49.48,74,100,7.96
335,Kamaishi,JP,39.27,141.88,47.07,77,0,13.58
336,Hargeisa,SO,9.56,44.06,77.99,44,99,9.64
337,Kyaikkami,MM,16.08,97.57,84.76,73,24,12.66
338,Rach Gia,VN,10.02,105.08,84.2,83,20,3.36
339,Fengzhen,CN,40.44,113.15,42.13,32,25,3.09
340,Kāmāreddi,IN,18.32,78.35,88.65,18,40,3.42
341,Kumul,CN,42.8,93.45,67.68,10,0,6.46
342,Landeck,AT,47.13,10.56,53.6,46,40,5.82
343,Dumai,ID,1.68,101.45,78.04,87,91,3.31
344,Semey,KZ,50.41,80.23,47.68,67,100,10.13
345,Łańcut,PL,50.07,22.23,48.52,71,20,18.34
346,Phan Thiet,VN,10.93,108.1,80.46,74,78,11.61
347,Roald,NO,62.58,6.13,45.45,75,67,8.05
348,Evensk,RU,61.95,159.23,24.78,89,57,7.16
349,Aldan,RU,58.6,125.39,28.17,81,10,1.77
350,Dawlatabad,AF,36.41,64.91,75.54,36,21,6.49
351,Pevek,RU,69.7,170.31,21.65,97,100,6.17
352,Marabu,MY,4.41,114.01,78.4,94,75,2.24
353,Kyren,RU,51.68,102.14,58.6,34,100,3.89
354,Opochka,RU,56.71,28.66,44.94,53,75,10.04
355,Manali,IN,13.17,80.27,87.37,79,40,8.05
356,Mitzic,GA,0.78,11.55,82.02,65,65,2.35
357,Yangi Marg`ilon,UZ,40.43,71.72,68.0,56,100,4.7
358,Bobon,PH,12.52,124.56,78.42,86,9,8.14
359,Bereket,TM,39.24,55.52,71.26,47,15,16.58
360,Srednekolymsk,RU,67.45,153.68,25.36,97,100,1.95
361,Phitsanulok,TH,16.92,100.5,80.65,61,0,5.17
362,Turukhansk,RU,65.82,87.98,32.65,90,82,17.47
363,Xichang,CN,27.9,102.26,52.27,42,100,1.81
364,Boden,SE,65.83,21.69,42.8,48,77,14.99
365,Kormilovka,RU,55.0,74.1,46.4,28,0,6.71
366,Verāval,IN,20.9,70.37,80.22,86,0,9.48
367,Tezu,IN,27.92,96.17,67.5,67,67,3.22
368,Sarāhan,IN,31.52,77.8,50.61,31,74,3.15
369,Rebrikha,RU,53.07,82.34,47.35,71,100,1.41
370,Rafrāf,TN,37.19,10.18,72.5,73,20,9.17
371,Edéa,CM,3.8,10.13,89.6,70,40,6.93
372,Itoman,JP,26.12,127.67,68.0,72,100,6.93
373,Kaset Sombun,TH,16.28,101.95,78.42,65,3,1.81
374,Pemangkat,ID,1.17,108.97,79.77,82,100,4.79
375,Laas,IT,46.62,10.7,53.6,37,40,5.82
376,Mahibadhoo,MV,3.78,72.97,85.08,68,11,5.93
377,NEDJO,ET,9.5,35.5,81.07,12,17,5.37
378,Malkara,TR,40.89,26.9,59.59,44,0,7.31
379,Khani,GE,41.96,42.96,53.6,76,75,9.17
380,Nurobod,UZ,40.91,69.8,69.8,68,94,6.93
381,Tarakan,ID,3.3,117.63,82.65,74,98,2.48
382,Vostok,RU,46.49,135.88,26.24,86,100,1.05
383,Hadejia,NG,12.45,10.04,107.06,7,33,7.78
384,Issa,RU,53.87,44.86,53.19,63,100,10.56
385,Ulagan,RU,50.63,87.96,51.67,26,70,6.38
386,Oddur,SO,4.12,43.89,86.22,46,77,8.99
387,Port Blair,IN,11.67,92.75,85.48,77,15,9.26
388,Fara in Sabina,IT,42.21,12.73,67.87,52,3,10.29
389,Salalah,OM,17.02,54.09,86.0,79,0,11.41
390,Arkadak,RU,51.93,43.5,56.1,64,100,13.04
391,Ayan,RU,56.45,138.17,26.37,96,94,1.5
392,Baharly,TM,38.44,57.43,73.29,46,20,12.91
393,Zabaykal'sk,RU,49.63,117.32,41.27,44,36,5.35
394,Libenge,CD,3.65,18.63,97.07,33,1,5.46
395,Pa Sang,TH,18.53,98.94,70.23,83,40,3.36
396,Misratah,LY,32.38,15.09,68.83,62,17,15.95
397,Koutsouras,GR,35.03,25.95,69.01,32,0,10.0
398,Jalu,LY,29.03,21.55,82.87,19,26,12.64
399,Yaroslavskaya,RU,44.61,40.46,58.98,49,13,6.55
400,Berdigestyakh,RU,62.1,126.7,26.06,95,0,2.37
401,Valkeala,FI,60.94,26.8,42.4,35,98,9.17
402,Kandalaksha,RU,67.16,32.41,34.29,85,100,15.79
403,Tura,IN,25.52,90.22,70.11,73,12,2.51
404,Vikevåg,NO,59.1,5.7,49.69,61,20,11.41
405,Pandaria,IN,22.23,81.42,87.12,22,24,1.14
406,Leshukonskoye,RU,64.9,45.76,33.22,89,100,9.37
407,Revda,RU,56.8,59.93,46.4,81,40,20.13
408,Blagoyevo,RU,63.37,47.92,34.7,82,98,4.25
409,Lienz,AT,46.83,12.77,60.8,31,40,1.92
410,Sarangani,PH,5.4,125.46,84.15,78,100,22.28
411,Bobov Dol,BG,42.37,23.02,60.08,37,2,12.75
412,Vaini,TO,-21.2,-175.2,75.2,94,75,6.93
413,Punta Arenas,CL,-53.15,-70.92,39.0,64,51,11.99
414,Saldanha,ZA,-33.01,17.94,73.4,43,0,8.05
415,Rikitea,PF,-23.12,-134.97,75.69,79,3,12.86
416,Jamestown,US,42.1,-79.24,50.0,57,1,5.82
417,Hermanus,ZA,-34.42,19.23,78.01,45,0,3.0
418,Ushuaia,AR,-54.8,-68.3,41.0,52,40,4.7
419,Villa María,AR,-32.41,-63.24,67.95,78,98,10.56
420,Cape Town,ZA,-33.93,18.42,72.28,60,0,11.41
421,Mar del Plata,AR,-38.0,-57.56,63.01,93,75,10.29
422,Castro,BR,-24.79,-50.01,76.71,38,20,5.06
423,El Salvador,SV,13.83,-88.92,86.9,52,12,3.36
424,Pontes e Lacerda,BR,-15.23,-59.34,86.54,59,3,4.14
425,Antofagasta,CL,-23.65,-70.4,72.23,47,52,9.71
426,Palora,EC,-1.7,-77.93,80.6,61,90,6.93
427,Avarua,CK,-21.21,-159.78,73.4,94,14,3.36
428,George Town,MY,5.41,100.34,78.19,94,40,0.87
429,San Patricio,MX,19.22,-104.7,77.0,78,40,3.42
430,Cidreira,BR,-30.18,-50.21,75.9,53,17,2.66
431,Humaitá,BR,-7.51,-63.02,84.31,73,98,4.14
432,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,91.74,35,0,11.9
433,Lebu,CL,-37.62,-73.65,58.37,83,100,16.8
434,Departamento de Maldonado,UY,-34.67,-54.92,68.58,88,75,11.41
435,Mataura,NZ,-46.19,168.86,48.0,74,83,5.99
